StationCode,StationName,escalator_count,source,source_ref,retrieved_at,notes
E08,Hyattsville Crossing,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=4
N09,Innovation Center,,pending,,2026-05-26T01:59:54Z,Silver Line Phase 2 (opened 2022-11-15). Needs OSM/manual.
B02,Judiciary Square,14,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:7, S:7; observed_unique=11 | ordinal gaps: N=[2, 5], S=[2]"
C13,King St-Old Town,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones S:2; observed_unique=1 | ordinal gaps: S=[1]
D03,L'Enfant Plaza,18,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:9, W:9; observed_unique=17 | ordinal gaps: W=[7]"
F03,L'Enfant Plaza,13,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones N:13; observed_unique=13
D12,Landover,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
N11,Loudoun Gateway,,pending,,2026-05-26T01:59:54Z,Silver Line Phase 2 (opened 2022-11-15). Needs OSM/manual.
N01,McLean,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:6; observed_unique=6
C02,McPherson Square,14,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:7, W:7; observed_unique=14"
A10,Medical Center,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:5; observed_unique=3 | ordinal gaps: X=[1, 4]"
A01,Metro Center,14,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:7, W:7; observed_unique=13 | ordinal gaps: E=[1]"
C01,Metro Center,11,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:5, S:6; observed_unique=11"
D09,Minnesota Ave,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=4
G04,Morgan Boulevard,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
E01,Mt Vernon Sq 7th St-Convention Center,7,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:7; observed_unique=7
F05,Navy Yard-Ballpark,9,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:4, W:5; observed_unique=9"
F09,Naylor Road,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
D13,New Carrollton,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
B35,NoMa-Gallaudet U,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:2, S:2; observed_unique=4"
A12,North Bethesda,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=4
C07,Pentagon,24,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:11, S:13; observed_unique=6 | ordinal gaps: N=[1, 2, 3, 4, 7, 8, 9], S=[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]"
C08,Pentagon City,10,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:10; observed_unique=10
D07,Potomac Ave,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:6; observed_unique=6
C11,Potomac Yard,,pending,,2026-05-26T01:59:54Z,Potomac Yard (opened 2023-05-19). Needs OSM/manual.
N07,Reston Town Center,,pending,,2026-05-26T01:59:54Z,Silver Line Phase 2 (opened 2022-11-15). Needs OSM/manual.
B04,Rhode Island Ave-Brentwood,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
A14,Rockville,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
C10,Ronald Reagan Washington National Airport,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:4, S:4; observed_unique=8"
C05,Rosslyn,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:8; observed_unique=8
A15,Shady Grove,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
E02,Shaw-Howard U,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:4, S:4; observed_unique=7 | ordinal gaps: S=[2]"
B08,Silver Spring,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones S:3; observed_unique=2 | ordinal gaps: S=[1]
D02,Smithsonian,14,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:7, S:7; observed_unique=13 | ordinal gaps: S=[3]"
F08,Southern Avenue,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=3 | ordinal gaps: X=[1]
N04,Spring Hill,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:6; observed_unique=3 | ordinal gaps: X=[3, 4, 5]"
D08,Stadium-Armory,10,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:6, S:4; observed_unique=10"
F10,Suitland,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
B07,Takoma,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
A07,Tenleytown-AU,9,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:9; observed_unique=9
A13,Twinbrook,1,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:1; observed_unique=1
N02,Tysons,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:8; observed_unique=6 | ordinal gaps: X=[2, 3]"
E03,U Street/African-Amer Civil War Memorial/Cardozo,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:4, W:4; observed_unique=8"
B03,Union Station,9,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:4, S:5; observed_unique=8 | ordinal gaps: S=[2]"
J02,Van Dorn Street,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
A06,Van Ness-UDC,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:8; observed_unique=6 | ordinal gaps: X=[4, 6]"
K08,Vienna/Fairfax-GMU,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
K03,Virginia Square-GMU,7,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:7; observed_unique=5 | ordinal gaps: X=[1, 3]"
N10,Washington Dulles International Airport,,pending,,2026-05-26T01:59:54Z,Silver Line Phase 2 (opened 2022-11-15). Needs OSM/manual.
F04,Waterfront,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:5; observed_unique=5
K06,West Falls Church,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:6; observed_unique=6
E07,West Hyattsville,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=4
B10,Wheaton,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
N06,Wiehle-Reston East,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=4
A04,Woodley Park-Zoo/Adams Morgan,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:8; observed_unique=7 | ordinal gaps: X=[1]
